Location,Latitude,Longitude,GeoCode Address,Person,Organization,Facility,Artifact
,0.0,0.0,,,,,
,0.0,0.0,,,GoogleFacts,Brooklyn Bridge Park,Picture of # Sandy
Africa Island n Lasgidi,0.0,0.0,,Gidi_Traffic,,,
,0.0,0.0,,HMS Bounty Crewmember Claudene Christian,,Ship,
,0.0,0.0,,We we,,Gym,
,0.0,0.0,,,Unique Coffee Roasters,,
,0.0,0.0,,you,,,these apps
,0.0,0.0,,,Data centres,,"cots , fuel and comfort food"
US,0.0,0.0,United States,,US government,Foreign tankers ports,
Phoenix,39.5164947,-76.616081,"Phoenix, MD 21131, USA",,,,
NYC,40.7127837,-74.0059413,"New York, NY, USA",,MurphGuide DiveBarNYC AustinsSteakAle TheStumbleInn Finnertys ThirdandLongNYC,NYC bars,
Asia,0.0,0.0,Asia,,,,
,0.0,0.0,,,NYC Wall Street,,
,0.0,0.0,,They hurricane sandy victims snooki VINNYGUADAGNINO DJPaulyD JENNIWOWW,,,23 million dollars
Baldwin,40.6686336,-73.6119129,"Baldwin, NY, USA",My grandparents,,My grandparents basement in Baldwin,
Baldwin,39.494829,-76.470242,"Baldwin, MD 21013, USA",My grandparents,,My grandparents basement in Baldwin,
Baldwin,34.4917665,-83.5373946,"Baldwin, GA, USA",My grandparents,,My grandparents basement in Baldwin,
Baldwin,30.3027384,-81.9753865,"Baldwin, FL 32234, USA",My grandparents,,My grandparents basement in Baldwin,
Baldwin,43.82333300000001,-70.724167,"Baldwin, ME, USA",My grandparents,,My grandparents basement in Baldwin,
,0.0,0.0,,Synonymous314 DVIDSHub BRUCKHEIMERJB,wwwicegov DHSgov jointbase HouseHomeland NASA RedCross,,
,0.0,0.0,,my,,a wall my basement,
,0.0,0.0,,JackLaugher i a hurricane survivor,,,
,0.0,0.0,,Misinformed Man,TheOnion,,
,0.0,0.0,,Travellers,U.S . airports,,
,0.0,0.0,,,,Somers Middle School Route 202 Route 100,Dry ice One bag
West Virginia,38.5976262,-80.4549026,"West Virginia, USA",,,,
,0.0,0.0,,lizelle_comfort You I,umiami,,
A Connecticut town,33.7628531,-84.3286961,"Connecticut Avenue Northeast, Atlanta, GA 30307, USA",,Reuters,,
A Connecticut town,33.7628531,-84.3286961,"Connecticut Avenue Northeast, Atlanta, GA 30307, USA",,Reuters,,
A Connecticut town,34.046809,-118.2717909,"Connecticut Street, Los Angeles, CA 90015, USA",,Reuters,,
A Connecticut town,34.0517,-118.3090589,"Connecticut Street, Los Angeles, CA 90006, USA",,Reuters,,
A Connecticut town,41.4530924,-72.4333437,"Town Street, East Haddam, CT 06423, USA",,Reuters,,
A Connecticut town,41.546969,-72.0922147,"Town Street, Norwich, CT 06360, USA",,Reuters,,
A Connecticut town,37.6981169,-85.874718,"Connecticut Court, Elizabethtown, KY 42701, USA",,Reuters,,
A Connecticut town,41.8863204,-73.31045329999999,"Town Street, West Cornwall, CT 06796, USA",,Reuters,,
A Connecticut town,41.5187543,-72.3399967,"Town Road, Colchester, CT 06415, USA",,Reuters,,
